"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass"
"145","BS147",2018,"Redwood",97,173054.222921939,399,36,"sober","1","1",3.84103544187457,12.733386686427
"146","BS147",2018,"Bay laurel",21,26229.9187394072,399,36,"sober","1","1",3.84103544187457,12.733386686427
"147","BS147",2022,"Tanoak",20,181.833150347689,399,36,"sober","1","1",2.43922524662687,36.9487797433225
"148","BS147",2022,"Redwood",24,167975.273539907,399,36,"sober","1","1",2.43922524662687,36.9487797433225
"149","BS147",2022,"Bay laurel",13,12175.2038597474,399,36,"sober","1","1",2.43922524662687,36.9487797433225
"150","BS148",2019,"Tanoak",9,33.9467204301252,870,28,"sober","1","1",0.963562277404629,1.81914533347208
"151","BS148",2019,"Tanoak",9,33.9467204301252,870,28,"sober","1","1",0.963562277404629,1.81914533347208
"152","BS148",2019,"Bay laurel",1,5.82664416058169,870,28,"sober","1","1",0.963562277404629,1.81914533347208
"153","BS148",2019,"Bay laurel",1,5.82664416058169,870,28,"sober","1","1",0.963562277404629,1.81914533347208
"154","BS148",2023,"Tanoak",29,1109.42224060062,870,28,"sober","1","1",1.42859910534918,40.742427539893
"155","BS148",2023,"Tanoak",29,1109.42224060062,870,28,"sober","1","1",1.42859910534918,40.742427539893
"156","BS148",2023,"Bay laurel",1,39.0649391082526,870,28,"sober","1","1",1.42859910534918,40.742427539893
"157","BS148",2023,"Bay laurel",1,39.0649391082526,870,28,"sober","1","1",1.42859910534918,40.742427539893
"158","BS149",2023,"Tanoak",2,86.3005094539358,759,22,"sober","1","1",25.4290539769832,75.9764799784152
"159","BS149",2023,"Tanoak",2,86.3005094539358,759,22,"sober","1","1",25.4290539769832,75.9764799784152
"160","BS149",2023,"Bay laurel",55,6469.55286159717,759,22,"sober","1","1",25.4290539769832,75.9764799784152
"161","BS149",2023,"Bay laurel",55,6469.55286159717,759,22,"sober","1","1",25.4290539769832,75.9764799784152
"162","BS150",2014,"Bay laurel",27,87551.8579415246,854,23,"sober","1","0",38.7561263151891,490.009334806697
"163","BS158",2011,"Tanoak",3,72153.3432038985,635,13,"sober_chalk","0","1",64.1091689804054,64.1091689804054
"164","BS158",2014,"Tanoak",7,84969.7498721331,635,13,"sober_chalk","0","1",63.5939981795965,63.5939981795965
"165","BS158",2019,"Tanoak",10,43661.3620697896,635,13,"sober_chalk","1","1",23.44163531375,23.44163531375
"166","BS158",2022,"Tanoak",9,54391.004334088,635,13,"sober_chalk","1","1",26.7166264408257,26.7166264408257
"167","BS159",2009,"Tanoak",14,56.3371434154156,250,28,"sober","1","0",24.8170252433394,40.8188031523675
"168","BS159",2018,"Tanoak",16,340977.43017,250,28,"sober","1","1",5.01338383460233,5.01338383460233
"169","BS159",2023,"Tanoak",40,233363.807286424,250,28,"sober","1","1",59.5905188023172,85.2342469867595
"170","BS160",2013,"Tanoak",132,307193.177219776,386,38,"sober_chalk","0","1",12.0257392900829,13.3643773392288
"171","BS160",2013,"Redwood",58,647486.334290048,386,38,"sober_chalk","0","1",12.0257392900829,13.3643773392288
"172","BS160",2018,"Tanoak",48,234909.556419621,386,38,"sober_chalk","0","1",9.06708203502367,123.089571311346
"173","BS160",2018,"Redwood",52,430200.717736585,386,38,"sober_chalk","0","1",9.06708203502367,123.089571311346
"174","BS160",2022,"Tanoak",78,139193.286139544,386,38,"sober_chalk","0","1",9.06708203502367,123.089571311346
"175","BS160",2022,"Redwood",30,448699.404397776,386,38,"sober_chalk","0","1",9.06708203502367,123.089571311346
