system:index,BAI,DSM,NDVI,Plot,Severity,end_date,precipitation,start_date,temperature_2m_max,temperature_2m_min,.geo
3_0000000000000000006b_0,46.155477203159705,34.0,0.372704629292794,BS186,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000006c_0,46.155477203159705,34.0,0.372704629292794,BS187,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000006d_0,46.155477203159705,34.0,0.372704629292794,BS188,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000006e_0,46.155477203159705,34.0,0.372704629292794,BS190,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000006f_0,46.155477203159705,34.0,0.372704629292794,BS193,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000070_0,46.155477203159705,34.0,0.372704629292794,BS194,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000071_0,46.155477203159705,34.0,0.372704629292794,BS195,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000072_0,46.155477203159705,34.0,0.372704629292794,BS196,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000073_0,46.155477203159705,34.0,0.372704629292794,BS201,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000074_0,46.155477203159705,34.0,0.372704629292794,BS202,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
