system:index,Plot,grtgroup,.geo
000000000000000000e1_0,BS412,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0,BS413,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3_0,BS415,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_0,BS416,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0,BS420,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6_0,BS423,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0,BS425,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8_0,BS426,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0,BS427,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea_0,BS429,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0,BS430,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0,BS431,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed_0,BS433,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee_0,BS434,215,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef_0,BS436,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0_0,BS438,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1_0,BS457,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2_0,BS458,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3_0,BS461,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0,BS468,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5_0,BS469,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6_0,BS470,215,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7_0,BS474,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_0,BS478,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9_0,BS486,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_0,BS494,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0,BS499,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,BS504,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_0,BS513,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_0,BS518,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_0,BS519,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_0,BS520,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_0,BS521,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_0,BS600,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103_0,BS601,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104_0,BS603,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105_0,BS604,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106_0,BS605,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107_0,BS607,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108_0,BS610,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109_0,BS611,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a_0,BS612,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b_0,BS613,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c_0,BS620,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d_0,BS621,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e_0,BS622,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f_0,BS623,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0,BS624,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000111_0,BS625,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112_0,BS626,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113_0,BS627,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114_0,BS628,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115_0,BS629,228,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116_0,BS632,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_0,BS633,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
