"","CwdId","Plot","SampleYear","Fire","PRam","Species","DecayClass","Mass","tInit","t","Mass0","Y"
"267",896,"BS168",2018,1,1,"Tanoak",3,0.232644069821498,2018,0,0.232644069821498,0
"268",897,"BS168",2018,1,1,"Tanoak",1,1.09818614232493,2018,0,1.09818614232493,0
"269",899,"BS168",2018,1,1,"Tanoak",1,0.147487938353863,2018,0,0.147487938353863,0
"270",900,"BS168",2018,1,1,"Tanoak",2,0.0458229998012005,2018,0,0.0458229998012005,0
"271",901,"BS168",2018,1,1,"Tanoak",3,0.07931669576614,2018,0,0.07931669576614,0
"272",902,"BS168",2018,1,1,"Tanoak",2,0.034638581678105,2018,0,0.034638581678105,0
"273",237,"BS187",2018,1,1,"Bay laurel",3,0.128476362094011,2018,0,0.128476362094011,0
"274",243,"BS190",2018,1,1,"Redwood",2,0.476667409105047,2009,9,0.476667409105047,0
"275",250,"BS190",2018,1,1,"Redwood",3,6.72843905741002,2009,9,6.72843905741002,0
"276",257,"BS190",2018,1,1,"Bay laurel",4,0.330882330052189,2018,0,0.330882330052189,0
"277",252,"BS190",2018,1,1,"Redwood",2,0.0423023264983756,2009,9,0.0757147905684648,-0.582131440852619
"278",253,"BS190",2018,1,1,"Redwood",3,0.0971411430378969,2009,9,0.0971411430378969,0
"279",254,"BS190",2018,1,1,"Redwood",2,0.0616084239605603,2018,0,0.0616084239605603,0
"280",326,"BS233",2014,1,1,"Bay laurel",1,0.0234847412769771,2011,3,0.0234847412769771,0
"281",773,"BS273",2014,1,1,"Tanoak",1,0.188912950531226,2014,0,0.188912950531226,0
"282",237,"BS187",2010,1,1,"Bay laurel",1,0.202223179045734,2010,0,0.202223179045734,0
"283",243,"BS190",2009,1,1,"Redwood",2,0.476667409105047,2009,0,0.476667409105047,0
"284",307,"BS224",2009,1,1,"Tanoak",3,0.0378498543909329,2009,0,0.0378498543909329,0
"285",308,"BS224",2009,1,1,"Tanoak",3,0.0176419680885361,2009,0,0.0176419680885361,0
"286",309,"BS224",2009,1,1,"Tanoak",3,0.0102037817479289,2009,0,0.0102037817479289,0
"287",310,"BS224",2009,1,1,"Tanoak",3,0.00602526232531973,2009,0,0.00602526232531973,0
"288",307,"BS224",2010,1,1,"Tanoak",3,0.0378498543909329,2009,1,0.0378498543909329,0
"289",308,"BS224",2010,1,1,"Tanoak",3,0.0132314760664021,2009,1,0.0176419680885361,-0.287682072451782
"290",309,"BS224",2010,1,1,"Tanoak",3,0.0102037817479289,2009,1,0.0102037817479289,0
"291",310,"BS224",2010,1,1,"Tanoak",3,0.00602526232531973,2009,1,0.00602526232531973,0
"292",324,"BS232",2009,1,1,"Bay laurel",1,0.305811370188094,2009,0,0.305811370188094,0
"293",324,"BS232",2011,1,1,"Bay laurel",2,0.249792062447216,2011,0,0.249792062447216,0
"294",326,"BS233",2011,1,1,"Bay laurel",1,0.0234847412769771,2011,0,0.0234847412769771,0
"295",328,"BS244",2009,1,0,"Redwood",3,4.59134782764549,2009,0,4.59134782764549,0
"296",328,"BS244",2010,1,0,"Redwood",3,4.59134782764549,2009,1,4.59134782764549,0
"297",337,"BS247",2009,1,0,"Redwood",1,12.5443293654113,2009,0,12.5443293654113,0
"298",338,"BS247",2009,1,0,"Redwood",2,0.0195180513005266,2009,0,0.0195180513005266,0
"299",339,"BS247",2009,1,0,"Redwood",3,0.820179278371545,2009,0,0.820179278371545,0
"300",337,"BS247",2010,1,0,"Redwood",1,12.5443293654113,2009,1,12.5443293654113,0
"301",339,"BS247",2010,1,0,"Redwood",3,0.820179278371545,2009,1,0.820179278371545,0
"302",341,"BS247",2010,1,0,"Redwood",3,0.0799156653220385,2010,0,0.0799156653220385,0
"303",342,"BS247",2010,1,0,"Redwood",4,0.0257759029265828,2010,0,0.0257759029265828,0
"304",377,"BS283",2010,1,1,"Tanoak",2,0.88421807019992,2010,0,0.88421807019992,0
"305",378,"BS295",2009,0,0,"Redwood",3,0.484687984898013,2009,0,0.484687984898013,0
"306",379,"BS295",2009,0,0,"Redwood",4,0.520068431150664,2009,0,0.520068431150664,0
"307",380,"BS295",2009,0,0,"Redwood",2,0.281746120218617,2009,0,0.281746120218617,0
"308",381,"BS295",2009,0,0,"Redwood",2,0.0845833051281412,2009,0,0.0845833051281412,0
"309",382,"BS295",2009,0,0,"Redwood",4,0.0212935801174942,2009,0,0.0212935801174942,0
"310",383,"BS295",2009,0,0,"Redwood",3,0.752235432825974,2009,0,0.752235432825974,0
"311",378,"BS295",2010,0,0,"Redwood",3,0.484687984898013,2009,1,0.484687984898013,0
"312",379,"BS295",2010,0,0,"Redwood",3,0.582965959791925,2010,0,0.582965959791925,0
"313",380,"BS295",2010,0,0,"Redwood",2,0.281746120218617,2009,1,0.281746120218617,0
"314",381,"BS295",2010,0,0,"Redwood",2,0.0845833051281412,2009,1,0.0845833051281412,0
"315",382,"BS295",2010,0,0,"Redwood",3,0.023868844227165,2010,0,0.023868844227165,0
"316",383,"BS295",2010,0,0,"Redwood",3,0.752235432825974,2009,1,0.752235432825974,0
"317",385,"BS297",2009,1,1,"Tanoak",1,1.40665707401165,2009,0,1.40665707401165,0
"318",385,"BS297",2010,1,1,"Tanoak",1,1.40665707401165,2009,1,1.40665707401165,0
"319",392,"BS313",2010,0,1,"Redwood",2,10.3032133180861,2010,0,10.3032133180861,0
"320",393,"BS313",2010,0,1,"Redwood",2,0.696855425339113,2010,0,0.696855425339113,0
"321",394,"BS313",2010,0,1,"Redwood",2,0.468245857920153,2010,0,0.468245857920153,0
"322",395,"BS313",2010,0,1,"Redwood",2,1.80429135795789,2010,0,1.80429135795789,0
"323",396,"BS313",2010,0,1,"Redwood",2,0.827122788080607,2010,0,0.827122788080607,0
"324",391,"BS313",2010,0,1,"Tanoak",1,0.678923075494159,2010,0,0.678923075494159,0
"325",397,"BS313",2010,0,1,"Redwood",1,0.199822417543998,2010,0,0.199822417543998,0
"326",402,"BS316",2011,0,1,"Tanoak",2,0.10014910603675,2011,0,0.10014910603675,0
"327",403,"BS316",2011,0,1,"Tanoak",2,0.0122631558412347,2011,0,0.0122631558412347,0
"328",408,"BS326",2009,0,1,"Bay laurel",2,0.132541250727648,2009,0,0.132541250727648,0
"329",408,"BS326",2011,0,1,"Bay laurel",1,0.162265450288401,2011,0,0.162265450288401,0
"330",409,"BS328",2009,0,0,"Tanoak",3,0.0191452710387034,2009,0,0.0191452710387034,0
"331",409,"BS328",2011,0,1,"Tanoak",3,0.0191452710387034,2009,2,0.0191452710387034,0
"332",413,"BS355",2009,1,0,"Redwood",3,0.0612379592772295,2009,0,0.0612379592772295,0
"333",413,"BS355",2010,1,0,"Redwood",3,0.0612379592772295,2009,1,0.0612379592772295,0
"334",447,"BS383",2009,0,1,"Tanoak",4,0.299484869222714,2009,0,0.299484869222714,0
"335",448,"BS383",2009,0,1,"Tanoak",4,0.0505770521605104,2009,0,0.0505770521605104,0
"336",449,"BS383",2009,0,1,"Tanoak",4,0.402231912021035,2009,0,0.402231912021035,0
"337",447,"BS383",2011,0,1,"Tanoak",4,0.299484869222714,2009,2,0.299484869222714,0
"338",448,"BS383",2011,0,1,"Tanoak",4,0.0505770521605104,2009,2,0.0505770521605104,0
"339",449,"BS383",2011,0,1,"Tanoak",4,0.402231912021035,2009,2,0.402231912021035,0
"340",462,"BS390",2009,1,0,"Redwood",3,0.435507917117552,2009,0,0.435507917117552,0
"341",462,"BS390",2010,1,0,"Redwood",4,0.388519973430112,2010,0,0.388519973430112,0
"342",463,"BS391",2010,0,1,"Redwood",2,0.518448237670236,2010,0,0.518448237670236,0
"343",464,"BS391",2010,0,1,"Redwood",2,0.297549642381012,2010,0,0.297549642381012,0
"344",237,"BS187",2013,1,1,"Bay laurel",1,0.202223179045734,2010,3,0.202223179045734,0
"345",292,"BS221",2013,1,1,"Tanoak",2,0.189269699321093,2009,4,0.189269699321093,0
"346",293,"BS221",2013,1,1,"Tanoak",2,0.105747995205332,2009,4,0.105747995205332,0
"347",295,"BS221",2013,1,1,"Tanoak",2,0.220859907385685,2009,4,0.220859907385685,0
"348",296,"BS221",2013,1,1,"Tanoak",2,0.136353837904015,2009,4,0.136353837904015,0
"349",297,"BS221",2013,1,1,"Tanoak",2,0.111335117247702,2009,4,0.111335117247702,0
"350",298,"BS221",2013,1,1,"Tanoak",3,0.0421768362772381,2009,4,0.0482020986025578,-0.133531392624523
"351",299,"BS221",2013,1,1,"Tanoak",2,0.0190008312781858,2010,3,0.0190008312781858,0
"352",644,"BS221",2013,1,1,"Tanoak",2,0.102669986537033,2013,0,0.102669986537033,0
"353",645,"BS221",2013,1,1,"Tanoak",3,0.205533748441306,2013,0,0.205533748441306,0
"354",646,"BS221",2013,1,1,"Tanoak",2,0.75990891786154,2013,0,0.75990891786154,0
"355",647,"BS221",2013,1,1,"Tanoak",3,0.0209905076258326,2013,0,0.0209905076258326,0
"356",648,"BS221",2013,1,1,"Tanoak",2,0.050242008276024,2013,0,0.050242008276024,0
"357",649,"BS221",2013,1,1,"Tanoak",2,0.144029624849222,2013,0,0.144029624849222,0
"358",650,"BS052",2013,1,0,"Bay laurel",1,0.0785247635652176,2013,0,0.0785247635652176,0
"359",604,"BS053",2013,1,0,"Tanoak",2,0.0824454827523042,2013,0,0.0824454827523042,0
"360",307,"BS224",2013,1,1,"Tanoak",3,0.0378498543909329,2009,4,0.0378498543909329,-8.88178419700126e-16
"361",308,"BS224",2013,1,1,"Tanoak",3,0.0132314760664021,2009,4,0.0176419680885361,-0.287682072451782
"362",309,"BS224",2013,1,1,"Tanoak",2,0.0122631558412347,2013,0,0.0122631558412347,0
"363",651,"BS224",2013,1,1,"Tanoak",2,0.0593410291367146,2013,0,0.0593410291367146,0
"364",328,"BS244",2013,1,0,"Redwood",1,5.07155613492944,2013,0,5.07155613492944,0
"365",655,"BS244",2013,1,0,"Redwood",2,0.0508628218109658,2013,0,0.0508628218109658,0
"366",337,"BS247",2013,1,0,"Redwood",1,12.5443293654113,2009,4,12.5443293654113,0
"367",338,"BS247",2013,1,0,"Redwood",3,0.018270613928221,2013,0,0.018270613928221,0
"368",669,"BS301",2013,1,1,"Tanoak",1,0.0656553660298771,2013,0,0.0656553660298771,0
"369",670,"BS301",2013,1,1,"Bay laurel",1,0.0567281032656976,2013,0,0.0567281032656976,0
