"","Plot","SampleYear","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"112","BS175",2009,511,25,"sober_chalk",1,1,4.7147872661406,4.7147872661406,NA
"113","BS175",2011,511,25,"sober_chalk",1,1,4.7147872661406,10.9049882837307,30370.3452143005
"114","BS175",2014,511,25,"sober_chalk",1,1,6.05219222411855,29.6643573278288,22387.1771086106
"115","BS188",2009,259,28,"control",1,0,0.578927194733275,0.578927194733275,NA
"116","BS188",2011,259,28,"control",1,0,48.6111647461429,48.6111647461429,9124.50831886461
"117","BS188",2014,259,28,"control",1,0,55.3839905573396,55.3839905573396,2408.72058043237
"118","BS193",2009,413,27,"sober_chalk",1,1,23.4819290907756,23.4819290907756,NA
"119","BS194",2009,417,38,"sober_chalk",1,1,19.3408241058116,21.3440684695849,4.9394846462993
"120","BS194",2011,417,38,"sober_chalk",1,1,19.3408241058116,23.6645573975058,1913.14301807598
"121","BS194",2014,417,38,"sober_chalk",1,1,16.0928842914317,32.3032307281496,1949.89467791329
"122","BS194",2022,417,38,"sober_chalk",1,1,0.291896278855606,4.05485131223561,52.9618946615428
"123","BS195",2009,579,42,"sober_chalk",1,1,4.44046637764144,4.44046637764144,NA
"124","BS195",2011,579,42,"sober_chalk",1,1,3.75306431251076,3.75306431251076,140706.035617387
"125","BS195",2014,579,42,"sober_chalk",1,1,20.6540572991883,24.4681136823769,121366.91596248
