system:index,Plot,b0,b10,b30,.geo
000000000000000000b6_0,BS310,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,BS312,6,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,BS313,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9_0,BS315,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_0,BS316,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0,BS317,9,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_0,BS320,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,BS321,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0,BS322,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_0,BS323,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,BS324,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_0,BS326,4,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,BS328,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,BS330,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4_0,BS331,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_0,BS333,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6_0,BS334,9,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,BS335,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8_0,BS338,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9_0,BS355,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,BS358,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0,BS359,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0,BS360,5,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0,BS365,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,BS372,4,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0,BS373,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,BS376,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0,BS378,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0,BS379,4,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0,BS382,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0,BS383,4,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0,BS384,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0,BS388,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0,BS389,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0,BS390,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0,BS391,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0,BS392,8,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0,BS393,10,9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0,BS394,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd_0,BS399,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de_0,BS405,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,BS407,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0,BS408,10,9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
