"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire"
"175","BS053",2010,"LIDE",1,337.357861140744,317,38,"dolan_chalk",0,1
"176","BS053",2010,"LIDE",1,337.357861140744,317,38,"dolan_chalk",0,1
"177","BS053",2010,"SESE",15,702562.2003113,317,38,"dolan_chalk",0,1
"178","BS053",2010,"SESE",15,702562.2003113,317,38,"dolan_chalk",0,1
"179","BS053",2010,"UMCA",9,37.0857632317666,317,38,"dolan_chalk",0,1
"180","BS053",2010,"UMCA",9,37.0857632317666,317,38,"dolan_chalk",0,1
"181","BS053",2013,"LIDE",1,529.183659462087,317,38,"dolan_chalk",0,1
"182","BS053",2013,"SESE",58,744732.535884535,317,38,"dolan_chalk",0,1
"183","BS053",2013,"UMCA",10,194.299604831055,317,38,"dolan_chalk",0,1
"184","BS053",2018,"SESE",64,832266.952307331,317,38,"dolan_chalk",1,1
"185","BS053",2018,"UMCA",12,1376.78189696821,317,38,"dolan_chalk",1,1
"186","BS053",2021,"SESE",5,676587.971363853,317,38,"dolan_chalk",1,1
"187","BS054",2007,"QUAG",15,60281.8475883741,558,34,"control",0,0
"188","BS054",2007,"UMCA",40,68756.7113615769,558,34,"control",0,0
"189","BS054",2011,"QUAG",16,67255.0253776365,558,34,"control",0,0
"190","BS054",2011,"UMCA",42,65307.7388915036,558,34,"control",0,0
"191","BS054",2014,"QUAG",15,71988.5482091481,558,34,"control",0,0
"192","BS054",2014,"UMCA",39,56888.7141239982,558,34,"control",0,0
"193","BS057",2007,"QUAG",2,108535.467113376,592,31,"dolan_chalk",0,0
"194","BS057",2007,"UMCA",11,106132.106030674,592,31,"dolan_chalk",0,0
"195","BS057",2011,"QUAG",2,93652.7488558068,592,31,"dolan_chalk",0,1
"196","BS057",2011,"UMCA",4,71818.8986256669,592,31,"dolan_chalk",0,1
"197","BS057",2014,"QUAG",1,13125.0228251199,592,31,"dolan_chalk",0,1
"198","BS057",2014,"UMCA",9,76759.8978008657,592,31,"dolan_chalk",0,1
"199","BS057",2019,"QUAG",1,15404.2510584117,592,31,"dolan_chalk",1,1
"200","BS057",2019,"UMCA",10,88925.630923859,592,31,"dolan_chalk",1,1
"201","BS057",2021,"QUAG",1,16729.6389955721,592,31,"dolan_chalk",1,1
"202","BS057",2021,"UMCA",2,60953.3610062797,592,31,"dolan_chalk",1,1
"203","BS058",2007,"ARME",1,3.40052178683963,744,25,"dolan",0,0
"204","BS058",2007,"LIDE",82,2902.7358402989,744,25,"dolan",0,0
"205","BS058",2007,"SESE",136,1527821.47621149,744,25,"dolan",0,0
"206","BS058",2009,"LIDE",74,4198.71426506423,744,25,"dolan",0,0
"207","BS058",2009,"SESE",44,2135.79592636128,744,25,"dolan",0,0
"208","BS058",2010,"ARME",1,10.3079790156517,744,25,"dolan",0,0
"209","BS058",2010,"LIDE",115,7090.27487291923,744,25,"dolan",0,0
"210","BS058",2010,"SESE",167,1509089.02391321,744,25,"dolan",0,0
"211","BS058",2013,"ARME",1,10.3079790156517,744,25,"dolan",0,0
"212","BS058",2013,"LIDE",118,14591.6930822308,744,25,"dolan",0,0
"213","BS058",2013,"SESE",160,1591482.5463291,744,25,"dolan",0,0
"214","BS058",2018,"ARME",1,11.6663002408312,744,25,"dolan",0,0
"215","BS058",2018,"LIDE",110,26827.5628444788,744,25,"dolan",0,0
"216","BS058",2018,"SESE",131,1697829.50164118,744,25,"dolan",0,0
"217","BS058",2021,"LIDE",8,23.235488467867,744,25,"dolan",0,1
"218","BS058",2021,"SESE",62,1723651.61090987,744,25,"dolan",0,1
"219","BS059",2007,"LIDE",5,53.6920840336854,630,40,"dolan",0,0
"220","BS059",2007,"SESE",62,337007.29457546,630,40,"dolan",0,0
"221","BS059",2007,"UMCA",21,10836.3026277574,630,40,"dolan",0,0
"222","BS059",2021,"SESE",120,362076.408545712,630,40,"dolan",0,1
"223","BS059",2021,"UMCA",3,8.50525807459194,630,40,"dolan",0,1
"224","BS060",2007,"ARME",2,11.6532883211634,638,30,"dolan",0,0
"225","BS060",2007,"QUAG",12,130575.731015727,638,30,"dolan",0,0
"226","BS060",2007,"UMCA",9,35392.9331946379,638,30,"dolan",0,0
"227","BS060",2021,"QUAG",10,87311.8352586603,638,30,"dolan",0,1
"228","BS060",2021,"UMCA",7,40005.0298731728,638,30,"dolan",0,1
"229","BS062",2007,"QUAG",11,503580.030937668,604,15,"dolan",0,0
