Plot,SampleYear,Species,DecayClass,VolumePlot,Density,MassPlot
BS084,2022,LIDE,2,0.155208107,0.460996013,0.071550319
BS085,2011,LIDE,2,0.075325099,0.460996013,0.03472457
BS085,2014,LIDE,2,1.894650582,0.460996013,0.873426364
BS094,2009,LIDE,2,0.155217139,0.460996013,0.071554482
BS098,2023,LIDE,2,0.145691359,0.460996013,0.067163136
BS140,2013,LIDE,2,0.063319094,0.460996013,0.02918985
BS141,2009,LIDE,2,0.845677472,0.460996013,0.389853943
BS141,2011,LIDE,2,3.139403081,0.460996013,1.447252304
BS141,2014,LIDE,2,0.472432703,0.460996013,0.217789592
BS146,2009,LIDE,2,0.192960548,0.460996013,0.088954043
BS146,2011,LIDE,2,1.519776014,0.460996013,0.700610683
BS146,2014,LIDE,2,1.834003138,0.460996013,0.845468134
BS147,2013,LIDE,2,0.018240872,0.460996013,0.008408969
BS148,2023,LIDE,2,0.05043827,0.460996013,0.023251841
BS158,2014,LIDE,2,0.213321995,0.460996013,0.098340589
BS158,2019,LIDE,2,1.785759804,0.460996013,0.82322815
BS158,2022,LIDE,2,1.785759804,0.460996013,0.82322815
BS159,2009,LIDE,2,0.138831495,0.460996013,0.064000766
BS159,2023,LIDE,2,0.332567349,0.460996013,0.153312222
BS160,2018,LIDE,2,0.040632574,0.460996013,0.018731455
BS160,2022,LIDE,2,0.040632574,0.460996013,0.018731455
BS165,2013,LIDE,2,0.659238675,0.460996013,0.303906401
BS168,2009,LIDE,2,0.756876429,0.460996013,0.348917016
BS168,2018,LIDE,2,0.74886097,0.460996013,0.345221921
BS168,2023,LIDE,2,5.341178789,0.460996013,2.462262126
BS194,2009,LIDE,2,2.097721408,0.460996013,0.967041205
BS194,2011,LIDE,2,2.097721408,0.460996013,0.967041205
BS195,2009,LIDE,2,0.385159259,0.460996013,0.177556883
BS195,2011,LIDE,2,0.288869444,0.460996013,0.133167662
BS195,2014,LIDE,2,0.382528175,0.460996013,0.176343964
BS220,2009,LIDE,2,0.293210733,0.460996013,0.135168979
BS221,2009,LIDE,2,1.656340913,0.460996013,0.763566557
BS221,2010,LIDE,2,1.697557823,0.460996013,0.782567388
BS221,2013,LIDE,2,3.990095085,0.460996013,1.839417926
BS221,2018,LIDE,2,0.061517921,0.460996013,0.028359516
BS221,2023,LIDE,2,0.049970958,0.460996013,0.023036412
BS222,2009,LIDE,2,0.590266304,0.460996013,0.272110413
BS224,2013,LIDE,2,0.155324955,0.460996013,0.071604185
BS224,2018,LIDE,2,0.026601436,0.460996013,0.012263156
BS226,2009,LIDE,2,1.39759141,0.460996013,0.644284068
BS242,2013,LIDE,2,0.127686106,0.460996013,0.058862786
BS244,2023,LIDE,2,0.087862493,0.460996013,0.040504259
BS276,2009,LIDE,2,0.638874282,0.460996013,0.294518497
BS277,2021,LIDE,2,0.380124857,0.460996013,0.175236044
BS283,2010,LIDE,2,1.918060125,0.460996013,0.88421807
BS283,2013,LIDE,2,1.918060125,0.460996013,0.88421807
BS283,2018,LIDE,2,2.845146552,0.460996013,1.311601217
BS283,2022,LIDE,2,1.027224693,0.460996013,0.473546488
BS296,2009,LIDE,2,0.643084016,0.460996013,0.296459167
BS297,2018,LIDE,2,5.128126814,0.460996013,2.364046015
BS301,2018,LIDE,2,1.635700531,0.460996013,0.754051423
BS313,2018,LIDE,2,0.134814851,0.460996013,0.062149109
BS313,2022,LIDE,2,0.05007895,0.460996013,0.023086196
BS316,2011,LIDE,2,0.243846495,0.460996013,0.112412262
BS316,2014,LIDE,2,0.243846495,0.460996013,0.112412262
BS316,2019,LIDE,2,0.436970013,0.460996013,0.201441434
BS328,2019,LIDE,2,0.015707963,0.460996013,0.007241308
BS328,2022,LIDE,2,0.157714391,0.460996013,0.072705705
BS355,2023,LIDE,2,0.08917018,0.460996013,0.041107097
BS407,2013,LIDE,2,2.921286584,0.460996013,1.346701468
BS426,2009,LIDE,2,0.423643769,0.460996013,0.195298088
BS426,2010,LIDE,2,0.116238928,0.460996013,0.053585682
BS426,2013,LIDE,2,0.153281742,0.460996013,0.070662272
BS426,2018,LIDE,2,0.037042814,0.460996013,0.01707659
BS429,2009,LIDE,2,1.067117893,0.460996013,0.491937094
BS429,2010,LIDE,2,0.301625253,0.460996013,0.139048039
BS429,2013,LIDE,2,0.301625253,0.460996013,0.139048039
BS429,2018,LIDE,2,7.111244767,0.460996013,3.278255485
BS429,2022,LIDE,2,3.50381542,0.460996013,1.615244939
BS433,2022,LIDE,2,0.109445234,0.460996013,0.050453817
BS457,2009,LIDE,2,0.446059033,0.460996013,0.205631436
BS457,2010,LIDE,2,0.830214946,0.460996013,0.38272578
BS457,2013,LIDE,2,0.427527563,0.460996013,0.197088502
BS457,2018,LIDE,2,1.228814057,0.460996013,0.566478381
BS457,2022,LIDE,2,0.728331526,0.460996013,0.33575793
BS494,2010,LIDE,2,0.725963943,0.460996013,0.334666483
BS494,2013,LIDE,2,0.725963943,0.460996013,0.334666483
BS494,2022,LIDE,2,0.05879098,0.460996013,0.027102407
BS521,2018,LIDE,2,1.735389235,0.460996013,0.800007518
BS521,2022,LIDE,2,2.101686215,0.460996013,0.968868966
BS600,2023,LIDE,2,0.154836261,0.460996013,0.071378899
BS601,2009,LIDE,2,0.32139239,0.460996013,0.14816061
BS601,2010,LIDE,2,0.32139239,0.460996013,0.14816061
BS601,2013,LIDE,2,1.930753691,0.460996013,0.890069754
BS603,2009,LIDE,2,3.069843547,0.460996013,1.415185636
BS603,2010,LIDE,2,3.069843547,0.460996013,1.415185636
BS603,2013,LIDE,2,0.186536933,0.460996013,0.085992782
BS603,2018,LIDE,2,0.510312457,0.460996013,0.235252008
BS603,2022,LIDE,2,0.510312457,0.460996013,0.235252008
BS604,2018,LIDE,2,0.341385093,0.460996013,0.157377167
BS611,2010,LIDE,2,0.858008224,0.460996013,0.39553837
BS611,2013,LIDE,2,0.292364466,0.460996013,0.134778853
BS611,2018,LIDE,2,1.124700066,0.460996013,0.518482246
BS611,2021,LIDE,2,0.341384936,0.460996013,0.157377094
BS613,2018,LIDE,2,0.550408918,0.460996013,0.253736317
BS613,2021,LIDE,2,0.179997551,0.460996013,0.082978153
BS627,2009,LIDE,2,0.50203436,0.460996013,0.231435838
BS629,2009,LIDE,2,0.723562941,0.460996013,0.333559631
BS629,2018,LIDE,2,0.172473437,0.460996013,0.079509567
BS632,2009,LIDE,2,0.547559965,0.460996013,0.252422961
BS633,2019,LIDE,2,0.270052404,0.460996013,0.124493082
BS633,2023,LIDE,2,0.091046183,0.460996013,0.041971927
BS027,2018,LIDE,3,0.269155951,0.383580113,0.10324287
BS027,2022,LIDE,3,1.828548296,0.383580113,0.701394762
BS081,2018,LIDE,3,0.989252953,0.383580113,0.379457759
BS081,2023,LIDE,3,2.037373997,0.383580113,0.781496148
BS084,2010,LIDE,3,0.977649222,0.383580113,0.375006799
BS084,2013,LIDE,3,1.15303354,0.383580113,0.442280736
BS085,2014,LIDE,3,0.053907217,0.383580113,0.020677736
BS085,2019,LIDE,3,0.273074302,0.383580113,0.104745872
BS086,2018,LIDE,3,0.427917525,0.383580113,0.164140653
BS086,2023,LIDE,3,0.209027605,0.383580113,0.080178832
BS098,2018,LIDE,3,0.145691359,0.383580113,0.055884308
BS122,2019,LIDE,3,0.252227164,0.383580113,0.096749324
BS140,2018,LIDE,3,0.113765866,0.383580113,0.043638324
BS140,2022,LIDE,3,0.130432605,0.383580113,0.050031353
BS141,2009,LIDE,3,1.112830658,0.383580113,0.42685971
BS141,2011,LIDE,3,0.398118329,0.383580113,0.152710274
BS141,2014,LIDE,3,1.414448214,0.383580113,0.542554206
BS147,2018,LIDE,3,0.500682297,0.383580113,0.192051772
BS159,2009,LIDE,3,3.048043878,0.383580113,1.169169015
BS159,2018,LIDE,3,0.578697075,0.383580113,0.221976689
BS159,2023,LIDE,3,0.779628943,0.383580113,0.299050158
BS165,2009,LIDE,3,0.221215247,0.383580113,0.084853769
BS165,2010,LIDE,3,0.25258994,0.383580113,0.096888478
BS165,2013,LIDE,3,0.172746363,0.383580113,0.066262069
BS165,2018,LIDE,3,0.19481016,0.383580113,0.074725303
