system:index,NDVI,Plot,albedo,.geo
000000000000000000d2_0,0.4963621,BS379,0.10137284,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0,0.54728043,BS382,0.07031261,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0,0.63300246,BS383,0.07079905,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0,0.5523503,BS384,0.06842176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0,0.73263896,BS388,0.0639646,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0,0.71608126,BS389,0.066169865,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0,0.7608026,BS390,0.055929985,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0,0.6888909,BS391,0.05283723,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0,0.7137519,BS392,0.051604446,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0,0.710304,BS393,0.056114864,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0,0.72290444,BS394,0.04997681,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd_0,0.636646,BS399,0.08747796,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de_0,0.5961328,BS405,0.06929303,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,0.6652381,BS407,0.061674017,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0,0.7288582,BS408,0.05375869,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1_0,0.8175243,BS412,0.0722201,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0,0.6275862,BS413,0.0883569,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3_0,0.5941093,BS415,0.089724675,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_0,0.6770111,BS416,0.08083046,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0,0.69352984,BS420,0.048355024,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6_0,0.7493212,BS423,0.0735353,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0,0.5804533,BS425,0.07133273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8_0,0.72166485,BS426,0.075692125,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0,0.75478697,BS427,0.05246839,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea_0,0.7955373,BS429,0.059741855,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0,0.70541465,BS430,0.06103209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0,0.71278995,BS431,0.057561148,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed_0,0.7859828,BS433,0.06623904,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee_0,0.70509565,BS434,0.06632466,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef_0,0.57021534,BS436,0.10595549,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0_0,0.77245575,BS438,0.0655329,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1_0,0.7647015,BS457,0.07427885,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2_0,0.56455857,BS458,0.055314038,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3_0,0.7757739,BS461,0.060718413,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0,0.6801505,BS468,0.07359976,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5_0,0.796167,BS469,0.055416103,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6_0,0.7185682,BS470,0.05851293,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7_0,0.70239455,BS474,0.05278209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_0,0.6247897,BS478,0.056836646,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9_0,0.58695334,BS486,0.09367381,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_0,0.7758901,BS494,0.061764553,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0,0.78257537,BS499,0.06990706,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,0.7884663,BS504,0.08510582,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_0,0.56243336,BS513,0.07158926,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_0,0.6396279,BS518,0.06746942,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_0,0.754091,BS519,0.058461316,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_0,0.7808895,BS520,0.06540113,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_0,0.8099369,BS521,0.06820879,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_0,0.77277756,BS600,0.05680607,"{""type"":""MultiPoint"",""coordinates"":[]}"
