"","Plot","Species","StemId","SampleYear","Status","DBH","Biomass"
"356","BS002","LIDE","5203-1",2013,"L",1.8,0.456113885852293
"357","BS002","LIDE","5203-2",2013,"L",1.6,0.342144833769874
"358","BS002","LIDE","5204-1",2013,"L",9.1,23.8217217594847
"359","BS002","LIDE","5205-1",2013,"L",3.2,1.85790800590469
"360","BS002","SESE","5206-1",2013,"L",2.7,0.688439845361756
"361","BS002","SESE","5206-2",2013,"L",3.5,1.28989394559199
"362","BS002","SESE","5206-3",2013,"L",2,0.333060742197326
"363","BS002","SESE","5206-4",2013,"L",3.3,1.11873145336199
"364","BS002","SESE","5206-5",2013,"L",1.6,0.194110786391515
"365","BS002","SESE","5206-6",2013,"L",1.1,0.0784026916485315
"366","BS002","SESE","5207-1",2013,"L",3.4,1.2025263756981
"367","BS002","SESE","5207-2",2013,"L",4.3,2.12255180707521
"368","BS002","SESE","14185-1",2013,"L",2.9,0.818376833468177
"369","BS002","LIDE","5169-1",2018,"L",15,80.6848270516602
"370","BS002","LIDE","5169-2",2018,"L",2.1,0.664492995750567
"371","BS002","LIDE","5169-3",2018,"L",3,1.58710657871372
"372","BS002","SESE","5171-1",2018,"L",121.5,6883.56908518104
"373","BS002","SESE","5172-1",2018,"L",100.4,4338.86451537147
"374","BS002","SESE","5173-1",2018,"L",65.6,1549.45943326264
"375","BS002","SESE","5173-2",2018,"D",7,6.90074657923619
"376","BS002","SESE","5173-3",2018,"D",1.5,0.166048200065463
"377","BS002","SESE","5175-1",2018,"L",7.3,7.63820009191646
"378","BS002","SESE","5175-2",2018,"L",1.6,0.194110786391515
"379","BS002","SESE","5176-1",2018,"L",9.8,15.5758896300148
"380","BS002","SESE","5176-2",2018,"L",7,6.90074657923619
"381","BS002","QUAG","5177-1",2018,"L",1.6,0.342144833769874
"382","BS002","QUAG","5178-1",2018,"L",3.3,2.00283714040288
"383","BS002","LIDE","5179-1",2018,"L",52.7,1733.37616641785
"384","BS002","LIDE","5179-2",2018,"L",49.8,1509.69749608163
"385","BS002","LIDE","5179-3",2018,"D",2,0.589884967014742
"386","BS002","SESE","5180-1",2018,"L",62.2,1362.25122387339
"387","BS002","LIDE","5181-1",2018,"L",2.6,1.11918801672578
"388","BS002","LIDE","5182-1",2018,"D",9.8,28.5453886148513
"389","BS002","LIDE","5182-2",2018,"D",8,17.3938518745948
"390","BS002","LIDE","5183-1",2018,"D",25.1,283.502350013366
"391","BS002","LIDE","5183-2",2018,"D",23.3,236.411670794264
"392","BS002","LIDE","5183-3",2018,"D",3.6,2.47678046396937
"393","BS002","LIDE","5183-4",2018,"D",1.8,0.456113885852293
"394","BS002","LIDE","5183-5",2018,"D",1,0.10863083281905
"395","BS002","UMCA","5184-1",2018,"L",5,5.32416831317059
"396","BS002","UMCA","5184-2",2018,"L",8.9,21.4087035256705
"397","BS002","UMCA","5184-3",2018,"L",5.3,6.12805170591988
"398","BS002","UMCA","5184-4",2018,"L",3.5,2.25126633144134
"399","BS002","UMCA","5184-5",2018,"L",11.3,38.0909384533813
"400","BS002","UMCA","5184-6",2018,"D",1.7,0.394066799683228
"401","BS002","UMCA","5184-7",2018,"D",1.9,0.515398950782585
"402","BS002","UMCA","5184-8",2018,"D",1.4,0.246648372100663
