Plot,SampleYear,Elevation,Slope,BurnScar,PRam,Fire,Easting,Northing
BS194,2019,417,38,sober_chalk,1,1,605590,4017510
BS194,2022,417,38,sober_chalk,1,1,605590,4017510
BS195,2009,579,42,sober_chalk,1,1,606630.928,4017337.28
BS195,2006,579,42,sober_chalk,1,0,606630.928,4017337.28
BS195,2011,579,42,sober_chalk,1,1,606630.928,4017337.28
BS195,2014,579,42,sober_chalk,1,1,606630.928,4017337.28
BS195,2019,579,42,sober_chalk,1,1,606630.928,4017337.28
BS195,2022,579,42,sober_chalk,1,1,606630.928,4017337.28
BS196,2009,646,30,sober_chalk,1,1,606929.11,4016911.507
BS196,2006,646,30,sober_chalk,1,0,606929.11,4016911.507
BS196,2023,646,30,sober_chalk,1,1,606929.11,4016911.507
BS201,2009,771,29,sober_chalk,0,1,605283.953,4023798.129
BS201,2006,771,29,sober_chalk,0,0,605283.953,4023798.129
BS202,2009,770,37,sober_chalk,0,1,604474.822,4023766.368
BS202,2006,770,37,sober_chalk,0,0,604474.822,4023766.368
BS202,2011,770,37,sober_chalk,1,1,604474.822,4023766.368
BS202,2014,770,37,sober_chalk,1,1,604474.822,4023766.368
BS202,2019,770,37,sober_chalk,1,1,604474.822,4023766.368
BS202,2023,770,37,sober_chalk,1,1,604474.822,4023766.368
BS203,2006,768,18,sober,1,0,604379.435,4024284.823
BS203,2019,768,18,sober,1,1,604379.435,4024284.823
BS203,2023,768,18,sober,1,1,604379.435,4024284.823
BS204,2006,784,30,sober,1,0,603850.161,4024309.196
BS204,2019,784,30,sober,1,1,603850.161,4024309.196
BS204,2023,784,30,sober,1,1,603850.161,4024309.196
BS205,2006,91,15,control,1,0,606704.641,4014551.825
BS207,2006,305,33,control,1,0,607573.227,4013146.102
BS210,2007,25,40,control,1,0,606933.364,4011705.396
BS217,2009,127,30,sober_chalk,1,1,609915.972,4012273.466
BS217,2006,127,30,sober_chalk,1,0,609915.972,4012273.466
BS217,2011,127,30,sober_chalk,1,1,609915.972,4012273.466
BS217,2014,127,30,sober_chalk,1,1,609915.972,4012273.466
